instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+
tic-14crafd.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 3
tic-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
tic-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
tic-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
tic-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
tic-14crafd.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
ticf-13crafa.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.4 10
ticf-13crafa.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.6 10
ticf-13crafa.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.6 10
ticf-13crafa.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 10
ticf-13crafa.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.5 10
ticf-13crafa.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.5 10
ticf-13crafa.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.3 12
ticf-13crafa.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.6 12
ticf-13crafa.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.6 12
ticf-13crafa.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 12
ticf-13crafa.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 12
ticf-13crafa.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 12
ticf-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.5 17
ticf-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.7 17
ticf-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.8 17
ticf-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 17
ticf-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.6 17
ticf-13crafb.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.6 17
ticf-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,UNSAT
ticf-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,UNSAT
ticf-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,UNSAT
ticf-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,UNSAT
ticf-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,UNSAT
ticf-13crafb.fixed040-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,UNSAT
ticf-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.4 10
ticf-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.6 10
ticf-13crafc.fixed020-Forb,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.7 10
