instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13crafc.prec30,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,1.2 0,-
forum-13crafc.prec30,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,1.1 0,-
forum-13crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,1.9 0,-
forum-13crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,1.2 0,-
forum-13crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,4.3 0,-
forum-13crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,1.9 0,-
forum-13crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,2.8 0,-
forum-13crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,1.2 0,-
forum-13crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,2.6 0,-
forum-13crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,3.3 0,-
forum-13crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,3.0 0,-
forum-13crafc.prec30,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,2.2 0,-
forum-13crafc.prec30,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,3.1 0,-
forum-13crafc.prec30,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.0 0,-
forum-13crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,3.8 0,-
forum-13crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,3.0 0,-
forum-13crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.9 0,-
forum-13crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,1.6 0,-
forum-13crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.1 0,-
forum-13crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,1.8 0,-
forum-13crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,3.8 0,-
forum-13crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,3.0 0,-
forum-13crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,1.8 0,-
forum-13crafc.prec35,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,10.3 0,-
forum-13crafc.prec35,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,9.2 0,-
forum-13crafc.prec35,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,4.2 0,-
forum-13crafc.prec35,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,4.6 0,-
forum-13crafc.prec35,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,6.3 0,-
forum-13crafc.prec35,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,4.7 0,-
forum-13crafc.prec35,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,6.0 0,-
forum-13crafc.prec35,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,5.5 0,-
forum-13crafc.prec35,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,4.1 0,-
forum-13crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,4.5 0,-
forum-13crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,6.1 0,-
forum-13crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,4.3 0,-
